episode,total_reward,normalised_reward,steps,mean_loss,completed_requests,picked_up_requests,avg_wait_until_pickup,avg_excess_ride_time,epsilon,lr,eval_completed_requests,eval_picked_up_requests,eval_avg_wait_until_pickup,eval_avg_excess_ride_time,eval_eval_total_reward,eval_eval_steps
1,344.14364739095447,1.7207182369547724,200,,200,200,227.15,163.02037908214393,0.05,5e-05,,,,,,
2,343.63130654777143,1.718156532738857,200,,200,200,212.05,176.55332795322428,0.05,5e-05,,,,,,
3,355.59726624622226,1.7779863312311113,200,1.9930396556854248,200,200,222.55,136.86219958624278,0.049796954314720816,4.999691612800995e-05,,,,,,
4,356.0416047332907,1.7802080236664535,200,1.8415290212631226,200,200,196.2,124.72637042726363,0.04959390862944163,4.9987665288388054e-05,,,,,,
5,359.2456172126002,1.796228086063001,200,1.701168327331543,200,200,201.7,127.0829136225928,0.049390862944162436,4.99722498099837e-05,200.0,200.0,187.25,114.0609421957859,362.6414988809314,200.0
6,359.0524338424119,1.7952621692120596,200,1.6108002614974977,200,200,202.5,119.20439607530346,0.04918781725888325,4.995067357356118e-05,,,,,,
7,360.44994036553067,1.8022497018276533,200,1.4893033504486084,200,200,197.85,117.24730352826847,0.04898477157360406,4.9922942010822585e-05,,,,,,
8,358.3719975928363,1.7918599879641814,200,1.5173443603515624,200,200,202.75,125.13889300549592,0.04878172588832488,4.9889062103040575e-05,,,,,,
9,359.9890410354024,1.799945205177012,200,1.3859336590766906,200,200,204.65,116.66402568449166,0.04857868020304569,4.98490423793007e-05,,,,,,
10,362.9435626466177,1.8147178132330886,200,1.4094962978363037,200,200,186.45,113.91381620815959,0.0483756345177665,4.980289291435445e-05,200.0,200.0,182.9,111.04359442260606,365.7941619229018,200.0
11,362.2094694627824,1.8110473473139121,200,1.3997758388519288,200,200,209.75,114.16594292662303,0.04817258883248731,4.975062532608282e-05,,,,,,
12,362.384740829779,1.811923704148895,200,1.348268790245056,200,200,173.3,113.6495869162964,0.047969543147208124,4.969225277257163e-05,,,,,,
13,363.817305701317,1.8190865285065851,200,1.3962143087387084,200,200,208.2,116.0251548682258,0.04776649746192894,4.962778994879906e-05,,,,,,
14,362.3206968527793,1.8116034842638964,200,1.3261214804649353,200,200,180.1,109.4195401727834,0.04756345177664975,4.9557253082936274e-05,,,,,,
15,364.3757465620712,1.8218787328103558,200,1.401036434173584,200,200,207.45,112.11212723325733,0.04736040609137056,4.948065993226203e-05,200.0,200.0,164.25,105.75556838800294,364.9295186886787,200.0
16,360.4975286392991,1.8024876431964956,200,1.3584954929351807,200,200,194.2,112.98370709830135,0.04715736040609137,4.939802977869242e-05,,,,,,
17,358.2814330225956,1.791407165112978,200,1.3189514112472533,200,200,211.8,119.49373675753031,0.046954314720812185,4.9309383423926694e-05,,,,,,
